scanner_cluster,series_class,n,n_pass,pass_rate
GE MEDICAL SYSTEMS |  | T,other,2,2,1.0
GE MEDICAL SYSTEMS | SIGNA Artist | 1.5T,asl,3,3,1.0
GE MEDICAL SYSTEMS | SIGNA Artist | 1.5T,dwi,5,5,1.0
GE MEDICAL SYSTEMS | SIGNA Artist | 1.5T,flair,9,9,1.0
GE MEDICAL SYSTEMS | SIGNA Artist | 1.5T,localizer,3,3,1.0
GE MEDICAL SYSTEMS | SIGNA Artist | 1.5T,other,19,19,1.0
GE MEDICAL SYSTEMS | SIGNA Artist | 1.5T,perf,3,3,1.0
GE MEDICAL SYSTEMS | SIGNA Artist | 1.5T,swi,11,11,1.0
GE MEDICAL SYSTEMS | SIGNA Artist | 1.5T,t1_anat,10,10,1.0
GE MEDICAL SYSTEMS | SIGNA Artist | 1.5T,t2_anat,3,3,1.0
GE MEDICAL SYSTEMS | SIGNA Premier | 3T,asl,37,37,1.0
GE MEDICAL SYSTEMS | SIGNA Premier | 3T,bold,35,34,0.9714
GE MEDICAL SYSTEMS | SIGNA Premier | 3T,dwi,55,54,0.9818
GE MEDICAL SYSTEMS | SIGNA Premier | 3T,flair,110,110,1.0
GE MEDICAL SYSTEMS | SIGNA Premier | 3T,localizer,32,32,1.0
GE MEDICAL SYSTEMS | SIGNA Premier | 3T,other,193,193,1.0
GE MEDICAL SYSTEMS | SIGNA Premier | 3T,perf,28,28,1.0
GE MEDICAL SYSTEMS | SIGNA Premier | 3T,swi,101,101,1.0
GE MEDICAL SYSTEMS | SIGNA Premier | 3T,t1_anat,141,141,1.0
GE MEDICAL SYSTEMS | SIGNA Premier | 3T,t2_anat,57,57,1.0
SIEMENS | Skyra | 3T,asl,16,16,1.0
SIEMENS | Skyra | 3T,dwi,90,89,0.9889
SIEMENS | Skyra | 3T,flair,54,54,1.0
SIEMENS | Skyra | 3T,other,33,33,1.0
SIEMENS | Skyra | 3T,perf,8,8,1.0
SIEMENS | Skyra | 3T,swi,18,18,1.0
SIEMENS | Skyra | 3T,t1_anat,71,71,1.0
SIEMENS | Skyra | 3T,t2_anat,40,40,1.0
Siemens Healthineers | MAGNETOM Vida Fit | 3T,asl,13,13,1.0
Siemens Healthineers | MAGNETOM Vida Fit | 3T,dwi,64,64,1.0
Siemens Healthineers | MAGNETOM Vida Fit | 3T,flair,37,37,1.0
Siemens Healthineers | MAGNETOM Vida Fit | 3T,fmap,23,23,1.0
Siemens Healthineers | MAGNETOM Vida Fit | 3T,perf,16,16,1.0
Siemens Healthineers | MAGNETOM Vida Fit | 3T,swi,40,40,1.0
Siemens Healthineers | MAGNETOM Vida Fit | 3T,t1_anat,39,39,1.0
Siemens Healthineers | MAGNETOM Vida Fit | 3T,t2_anat,26,26,1.0
